date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2022-03-18,467000,119200,102000,36650,51400,59100,110000,286000,106900,81000,1157.63
2022-03-21,463500,119200,99500,35950,51400,58100,108500,276000,105300,78100,1135.74
2022-03-22,463000,118500,103000,36500,51400,58400,109000,279000,106500,78400,1142.8
2022-03-23,469000,117300,103300,37000,51300,58400,112000,283000,107600,80500,1161.68
2022-03-24,462500,119600,107300,37000,51600,60400,110000,280500,107600,74900,1146.96
2022-03-25,463500,119300,102600,36800,51500,60000,109500,278500,105300,76900,1141.91
2022-03-28,457000,116700,99900,37000,51800,58400,110000,271500,100100,76500,1125.53
2022-03-29,462000,118700,100300,36900,51600,63300,110000,273000,100600,80200,1135.93
2022-03-30,465000,117600,100000,37400,52100,63900,111000,272500,101600,78700,1139.45
2022-03-31,467500,110900,103500,36850,51600,62700,111500,275500,99500,78300,1142.61
2022-04-01,467000,111000,100600,36800,51300,67100,108000,278000,101300,79000,1136.98
2022-04-04,476000,113900,103300,37100,52400,71400,109500,298500,104200,78800,1171.85
2022-04-05,480000,115300,105700,39000,52700,73500,111500,293500,105800,79500,1179.92
2022-04-06,474000,121500,107800,38850,52500,78100,109500,287000,103500,78800,1165.06
2022-04-07,462000,116500,101600,37950,50800,73500,104000,284000,103000,75900,1130.51
2022-04-08,458000,111800,99900,36650,50600,72900,103500,280000,98700,75500,1116.08
2022-04-11,453500,109500,97100,37250,50900,71400,102500,281500,97800,72700,1106.51
2022-04-12,458000,101900,85800,37050,50100,72400,102500,267000,100600,66700,1084.56
2022-04-13,458500,102300,85000,37000,51000,73300,104500,267500,100600,65900,1090
2022-04-14,447000,102400,89100,37000,51300,68900,103500,266500,105000,66500,1084.56
2022-04-15,443000,108500,88200,35850,51500,68200,103000,264500,107200,65600,1080.01
2022-04-18,438500,102600,85200,35650,50700,65400,103000,261000,102600,64500,1065.13
